,clean_text
6276,"<mark> We are still in the middle of a public health crisis and inflation is now running at 5%, energy companies are failing, the cost of heating our homes is even higher and mortgage increases are likely</mark>"
6277,"<mark> Member for Ross, Skye and Lochaber Ian Blackford, who has been very quiet about the £270,00 he has rinsed from outside earnings since he was elected to Westminster in 2015</mark>"
6278,"<mark> Of course, I would not expect the SNP to highlight the way in which this Government have supported thousands of businesses in Scotland, with more than £4 billion of loans through the bounce back loan scheme and the coronavirus business interruption loan scheme</mark>"
6279,"<mark> I do feel some sympathy for her, given the massed ranks of two colleagues with hertwo and half perhaps; I am not quite sure where Labour is with that</mark>"
6280,<mark> She will call on allies to contribute personnel to the NATO headquarters in Sarajevo and to support work to counter disinformation and strengthen defence reform</mark>
6281,"<mark> Thanks to the integrated rail plan, we will build three new highspeed rail lines, electrify or upgrade three existing main lines, improve local services, and integrate them properly with HS2 and Northern Powerhouse Rail, all bringing benefits to passengers 10 to 15 years sooner than under previous plans</mark>"
6282,"<mark> Again, let me remind Members where the money is going £4</mark>"
6283,"<mark>8 billion via the levellingup fund to help regenerate town centres and high streets, upgrade local transport, and invest in cultural and heritage assets; £2</mark>"
6284,<mark>4 billion for 101 towns deals investing in local economies</mark>
6285,"<mark> We have seen the attack on the Electoral Commission, the privatisation of Channel 4, the attempts to install Paul Dacre as chair of Ofcom, and the secret freedom of information clearing house</mark>"
6286,"<mark>7 million in badly needed support for people in north Ethiopia, which makes us the second largest donor to the humanitarian response</mark>"
6287,"<mark> On drug deaths failure, with 1,264 deaths in 2019</mark>"
6288,"<mark> That is 15 times worse than Germany, 35 times worse than France and threeandahalf times worse than the rest of the United Kingdom</mark>"
6289,"<mark> Maybe they should tell us where the missing £600,000 is and explain why senior members of their party stood down from its national executive committee earlier this year</mark>"
6290,"<mark> Maybe they should apologise to the people of Scotland for the state of their education system, which is failing thousands of Scottish children while they bang on about leaving the Union and rejoining the European Union</mark>"
6291,"<mark> Friend agree that for all this talk of the levellingup agenda, when it comes to Scotland it is clear that it is a scorched earth agenda Whether we are talking about carbon capture in his part of the country or the Valneva contract to deliver 100 million vaccines, which we need right now, this Prime Minister is not capable of doing the very basics and telling the truth</mark>"
6292,"<mark> Microfibre plastic pollution is one of the most pervasive and preventable forms of microplastic pollution, with 35% of total microplastics released into the environment being shed from clothing</mark>"
6293,"<mark> It is estimated that we are breathing in between 2,000 and 7,000 microplastics a dayjust think about it</mark>"
6294,"<mark> He only felt the need to admit his mistakes and apologise to his Back Benchers in the Tory 1922 committee, and it was only because they were muttering about mutiny</mark>"
6295,"<mark> Fifteen of the Tory partys main treasurers who happened to hand over £3 million to the party were somehow given life peerages in the House of Lords, as if by magic</mark>"
6296,<mark> Twentytwo of the Tory partys top financial backers all happen to have been given peerages since 2010</mark>
6297,"<mark> In total, this group has stuffed Tory party coffers with £54 million Interruption</mark>"
6298,"<mark> The Conservatives see it as a virtue that if someone gives multimillion pounds to the Conservative party, they end up in the House of Lords</mark>"
6299,<mark> He personally gave up to £4 million in donations to the Tory party and affiliates</mark>
6300,"<mark> Three days after Lord Cruddas was introduced to the House of Lords, what happened He handed £500,000 to Conservative central office</mark>"
6301,<mark> It is £3 million for a peerage in the House of Lords</mark>
6302,<mark> We received just short of 48% of the popular vote at that last election</mark>
6303,"<mark> But it has not been a very happy St Andrews Day for many of my constituents because, as we sit here debating this today, thousands of them remain without power, lights, heating or internet connectivity as a result of Storm Arwen</mark>"
6304,"<mark> If anybody has to buy an ermine robe with a £3 million backhander, I think that says it all</mark>"
6305,"<mark> That is before we get to the reality of the corruption and sleaze we have seen in the past few weeks and months, with the VIP lanes for Tory friends, families and donors, the Owen Paterson scandal and the fact that people with £3 million can get themselves a seat in the House of Lords</mark>"
6306,"<mark> Constituents have been emailing me since I came here in 2015, as they have been observing this place and its shenanigans</mark>"
6307,<mark> What a hard neck Conservative Members have they pockled half a day from our Opposition day so that they could discuss the wearing of face masks in England</mark>
6308,<mark> Why do they think their opinion poll rating has dropped by something up to eight percentage points It is not because the SNP is not debating education or health; it is because Conservative Members are mired in a sleaze and corruption scandal on the scale of those in the 1990s</mark>
6309,"<mark> I was looking for philanthropy, good causes and charities, but the only thing that unites themthe only one defining featureis this rare ability to be able to give £3 million to Tory coffers</mark>"
6310,"<mark>With the leave of the House, we will take motions 6 and 7 together</mark>"
6311,"<mark> 1186,</mark>"
6312,"<mark>That the draft Regulatory Enforcement and Sanctions Act 2008 Amendment to Schedule 3 England Order 2021, which was laid before this House on 1 November, be approved</mark>"
6313,"<mark>That this House authorises the Secretary of State to undertake to pay, and to pay by way of financial assistance under section 8 of the Industrial Development Act 1982, sums exceeding £30 million with an estimated total sum of £44 million, to be made available, through the extended Airport and Ground Operations Support Scheme announced in the Budget, to eligible commercial airports and ground operators to compensate for the continuing damage caused by Covid19 to the aviation sector, on the basis of business rates liabilities or Covid19 losses, whichever is lower, from October 2021  March 2022, subject to certain conditions and a cap of £4 million per eligible company</mark>"
6314,<mark>I rise today on behalf of the people of Rother Valley to put on the record our strong and unwavering support for the Prime Minister and the transformative work he is doing for our communities and areas like ours across the north and the midlands</mark>
6315,"<mark> Should we not also be looking at those who have dual nationalityRussian and UK, or Chinese and UKreassessing and making them choose a nationality Secondly, should we not be looking at everyone from China or from Russia who has a tier 1 visa and reassessing whether those should not be withdrawn</mark>"
6316,<mark> He spoke on Radio 4 this morning about the weakness of the sanctions regime put together on Monday</mark>
6317,"<mark> He will know that the Prime Minister mentioned that we had sent 2,000 antitank missiles to Ukraine</mark>"
6318,<mark> This and the Government cybersecurity strategy are supported by £2</mark>
6319,<mark>6 billion of taxpayers money over the next three years</mark>
6320,"<mark>The Government spend £2 billion every year on food for schools, hospitals, prisons and so on</mark>"
6321,"<mark> One of the issues is how we combine the Places for Growth programme with other parts of Government, not least the record investment in research and developmentincreased from £15 billion to £22 billionso that we take the best of our academic research in our universities, and get the startups and then the scaleups in places such as Huddersfield</mark>"
6322,"<mark> In 2020, the inward stock of foreign direct investment in the UK from Russia was £681 million, and the equivalent EU figure was £112 billion</mark>"
6323,"<mark> The truth is that the intermediaterange nuclear forces treaty broke down because President Putin was breaking the rules and deploying SSC8 missiles, which were prohibited by that treaty</mark>"
6324,<mark> China will be spending something like $1</mark>
6325,<mark>5 trillion on infrastructure across this great border zone</mark>
6326,"<mark> The reality is that, by 2050, the economies of the new silk road will be worth two and a half times the value of the economies on the Atlantic seaboard</mark>"
6327,"<mark> But let me be clear our fight is with Putin and his cronies, with oligarchs who have become billionaires by having plundered Russias resources and hidden their obscene wealth in the west, and with those politicians close to the Kremlin who have encouraged and enabled this appalling attack on an independent sovereign state</mark>"
6328,"<mark> I welcome the Defence Secretarys recent announcements about the defensive weapons we have been supplying, including light antitank armour and defensive weapons systems, but there is plenty more we could be doing, and I look forward to the announcement that the Prime Minister will make at 5 oclock this evening</mark>"
6329,"<mark> We should, for example, examine the fact that Putin is one of the worlds richest men, with his wealth estimated at £200 billion, largely distributed about the world in dollars</mark>"
6330,"<mark> Member for Orkney and Shetland Mr Carmichael said that Putin has an arsenal of £650 billion, but that will soon run down if we take effective economic measures</mark>"
6331,"<mark> The Prime Minister was dead right to ring the President of Ukraine this morning at 4 oclock to keep that morale up, and we must keep doing that</mark>"
6332,"<mark> In 2021, the UK provided more than £27 million to the United Nations Relief and Works Agency, the UN agency working with Palestinian refugees, including £4</mark>"
6333,<mark>9 million to its flash appeal after the Gaza conflict in May</mark>
6334,"<mark> UK aid to UNRWA is already helping the agency to provide education to more than 533,000 children a year and access to health services for 3</mark>"
6335,<mark>5 million Palestinian refugees</mark>
6336,"<mark> One of the issues is how we combine the Places for Growth programme with other parts of Government, not least the record investment in research and developmentincreased from £15 billion to £22 billionso that we take the best of our academic research in our universities, and get the startups and then the scaleups in places such as Huddersfield</mark>"
6337,"<mark> Russia has 1,543 helicopters; Ukraine has 112</mark>"
6338,"<mark> Russia has 12,400 tanks; Ukraine has 2,600</mark>"
6339,<mark> 9 lays out quite clearly that the Communist party seeks a dominant position of its socialism over western capitalism</mark>
6340,<mark> He knows that EU dependency on energy is worsening and he has built up tens of billions in reserves</mark>
6341,<mark> Spending 2% on defence is not acceptable</mark>
6342,"<mark> Our own analysis has been in the integrated review for a year and a half Global Britain in a Competitive Age clearly outlines Russia as the most acute direct threat, and China as a systemic competitor</mark>"
6343,"<mark> On behalf of the electors of Wycombe, who feel this issue most powerfully, I implore my right hon</mark>"
6344,"<mark> Nine out of 10 Palestinians live outside the security barrier, while some 85% of Israelis who have settled beyond the 1967 lines live within that security barrier, including Israeli Jews residing in East Jerusalem</mark>"
6345,"<mark> The Minister expressed his sympathy, but as Labour has pushed for time and again, will he now confirm that this group will be able to claim the compensation that is due, as he has hinted, and if so, when Secondly, a year on from the historical shortfall scheme closingI understand that over 2,500 have appliedonly 30% of claims have been processed</mark>"
6346,"<mark>In 2008, Harjinder Butoy, who ran a post office in SuttoninAshfield, was jailed for three years and four months after he was wrongly convicted of stealing over £200,000</mark>"
6347,"<mark>Over a year ago, at the Public Accounts Committee, I discovered that there were 10,000 shipping containers filled with millions of items of personal protective equipment costing billions of pounds, and I am afraid of waste</mark>"
6348,"<mark> Overall, the World Health Organisation reports that 35% to 40% of patients who apply for permission to travel to Jerusalem are refused, delayed or get no response</mark>"
6349,"<mark> Between them, they were awarded £4</mark>"
6350,<mark>9 billion in PPE contracts</mark>
6351,<mark> One hundred and fifteen contracts were awarded to 51 suppliers identified through this route and the total value of those contracts was £3</mark>
6352,<mark>8 billion</mark>
6353,"<mark> Between May 2020 and March 2021, 50 suppliers had priority referrals for covid testing support and were awarded 128 contracts with a total value of £6 billion</mark>"
6354,"<mark> In 1959, hundreds of thousands of Tibetans banded together to revolt, in defiance of the Chinese invasion a decade earlier</mark>"
6355,"<mark> As he was talking, I was thinking about 1215, King John and his advisers and the necessity to curtail power</mark>"
6356,"<mark> We also have one of the most historical bilateral relationships with China, which predates the United States relationship and goes back to the Macartney mission in 1793 and touches on Lord Palmerston during the opium wars, which was a sombre time in that relationship</mark>"
6357,"<mark> We know it is right to bring in sanctionswe look forward to the 5 pm statement, when we will hear more from the Government on strengthening those sanctionsso there can be nowhere to hide economically from the ramifications of the decision to take a country to war</mark>"
6358,"<mark> Over the past year, the Israeli human rights organisation BTselem recorded 77 Palestinian deaths at the hands of Israeli forces in the west bank, with half those killed not being implicated in any attacks</mark>"
6359,"<mark>The One Public Estate programme has provided support and £140,000 to explore estate collaboration across the emergency services and wider public sector partners in London</mark>"
6360,<mark>5% of UN member states that have already done so</mark>
6361,"<mark> With respect, I will take no lectures on spin from Labour the Labour Government spent £2</mark>"
6362,"<mark>5 billion a year on marketing and communications and 4,000 spin doctors worked in central Government and their quangos</mark>"
6363,"<mark> Of the 72 postmasters whose convictions have been overturned, more than 95% have applied so far for an interim compensation payment of up to £100,000, of which 63 offers have been accepted and paid</mark>"
6364,<mark> Offers have been made to over 40% of applicants and compensation has been paid to 764 postmasters who have applied to the historical shortfall scheme</mark>
6365,<mark> At least 95% of those cases should have been dealt with by the end of the year</mark>
6366,<mark> The Post Office says that it wants this to be 95% finished by the end of the year</mark>
6367,"<mark> I want to say 100% by the end of the year, and that is the kind of timescale I am working on</mark>"
6368,<mark> Friend for the work she does on behalf of Tracy Felstead and others</mark>
6369,"<mark> Tracys case is one that I often hold up as someone who was so young that she has spent more than half her life under this absolute shadow, explaining to her children now what happened all those years ago</mark>"
6370,"<mark> That is exactly why those who were convicted had the £100,000 interim compensation to ensure that they could go a little way towards restoring some of their losses and that, if they needed legal representation, they had those costs paid for</mark>"
6371,<mark> They did not realise that so many peoplehundreds across the countrywere suffering the same issue because of a faulty bit of software</mark>
6372,"<mark> Friends constituents have not applied for or received their interim compensation of up to £100,000, will he please let me know I will certainly look into it, because that is exactly why those payments are there as a stepping stone to the final sums</mark>"
6373,<mark> Tens of thousands are likely to die</mark>
6374,"<mark> I inform the House that we will look to start the windups at around about quarter to 3, with the next debate starting at around 10 past, so will Members please be conscious of the length of their speeches</mark>"
6375,"<mark> As much as anybody in the House of Commons, having been chairman of the allparty group on Russia and being married to someone who is halfRussian, I have sought to understand Russia and the mindset of its leaders</mark>"
6376,"<mark> When Putin says that Ukraine has always been part of Russia, in a sense he is right because, following the partitions of Poland in the 1770s and the 1790s, Ukraine was an integral part of Russia for nearly 200 years</mark>"
6377,"<mark> The Prime Minister will update the House at 5 pm, and of course that will not be the last occasion on which the House is updated on the situation in Ukraine</mark>"
6378,"<mark> She was wrongfully convicted of stealing £40,000 from the Post Office and served 12 months in jail in 2000</mark>"
6379,"<mark>The Government need to get on and reform those rules somewhat more quickly, do they not In answer to my written question about steel targets for  HS2, the Government told me that they were unable to set targets for British steel procurement because of World Trade Organisation rules, but that is not true, is it The US sets informal targets through the Buy American Act because the WTO allows it to do so</mark>"
6380,"<mark>Around 70% of all central Government contracts in 2021 went to suppliers in the south of England, with almost half going to companies in London</mark>"
6381,"<mark> Because of the way in which we have pursued our trade policy in the past decade or so, Putin has built up a reported reserve in the region of $640 billion, so it is clear that he will be able to withstand economic sanctions for some time, and we should not overestimate the opportunities that they bring</mark>"
6382,"<mark> What signals have we sentby we I mean western Europeanssince 2014 We allowed Germany to go ahead and negotiate the construction of Nord Stream 2, a project that was designed specifically to take Ukraine out of the equation and allow a continued supply of gas from Russia to Europe</mark>"
6383,"<mark>We now come to motion 4 on legal aid and advice, which I propose to put along with motion 5 on local government, and motions 6 and 7 on social security</mark>"
6384,"<mark> If the flow of refugees does get worse, and if we are talking about the potential for many millions of refugees, the UK clearly has to be prepared to respond</mark>"
6385,<mark> It was also very good to hear the former Leader of the Opposition earlier in the debate speaking on behalf of the socialists of Russia in support of the people there opposing Putin</mark>
6386,"<mark> I commend the Government on their commitment to humanitarian priorities, sending 1,000 troops to the borders of Ukraine</mark>"
6387,<mark> It was announced today that we have set up a new fund and are committing £20 million to it to match the donations made by the British people</mark>
6388,<mark> I end by commending the Government on their commitment to the Defence budget 2</mark>
6389,<mark>4% of GDP is a tremendous step</mark>
6390,"<mark> Chancellor Olaf Scholz has taken the brave decision to cancel Nord Stream 2, to increase German defence spending and to export military equipment</mark>"
6391,"<mark> The Ukrainians I met were dignified and resolute, in the face of hundreds of thousands of Russian troops standing at their gates</mark>"
6392,"<mark> We have called this debate for Parliament, on behalf of the public, to stand united in condemnation of President Putins invading of and killing people in a sovereign democratic country; for Parliament to stand united in support of heroic Ukrainian resistance; and for Parliament to stand united with western allies and other countries around the world in confronting Russias aggression</mark>"
6393,"<mark> Labours postwar Foreign Secretary, Ernest Bevin, was the principal architect of NATO and, in particular, its article 5 commitment to collective defence</mark>"
6394,"<mark> We sent 2,000 of our antitank weapons before the invasion began</mark>"
6395,"<mark> As I have told the House already, we have trained 22,000 members of the Ukrainian armed forces under Operation Orbital since 2015 and we were among the first European nations to send defensive weapons to the country with an initial tranche of 2,000 antitank defensive missiles</mark>"
6396,<mark> That complements the hundreds of millions of pounds already committed to building Ukrainian resilience and providing vital medical supplies</mark>
6397,"<mark> Germany has increased its defence spending to more than 2% per cent of its GDP, and changed a decadeslong policy of not providing lethal aid</mark>"
6398,"<mark> Russias central bank has more than doubled its key interest rate to 20%, while Moscows stock market remains closed for the third consecutive day in a bid to avoid major slumps</mark>"
6399,"<mark> We are ramping up support for trade in priority industries, such as technology and green energy, to £3</mark>"
6400,"<mark>5 billion, including £1</mark>"
6401,<mark>7 billion to boost Ukraines naval capability</mark>
6402,<mark> The runway can be swept and cleared within half a day</mark>
6403,"<mark> There is nothing new about propaganda or information warfare, but technological advances and our increasing reliance on technology make it much easier, quicker and cheaper to customise messages ever more precisely, for ever more targeted audiences thousands of miles away</mark>"
6404,"<mark> Worryingly, some security experts argue that 62% of all web traffic is generated by bots</mark>"
6405,"<mark> Between 2009 and 2018, there was a 440% increase in cyberattacks across the world, of which 75% were allegedly from Russia</mark>"
6406,"<mark> The sanctions have been excellent, and I support 100% the support for refugees</mark>"
6407,"<mark> It was an honour to welcome the ambassador to Ukraine to the House earlier today and, on behalf of my Ynys Mn constituents, to give him and President Zelensky our support and respect</mark>"
6408,"<mark> On behalf of the Labour party, may I say that, to the extent that the Government are willing to step up and play that part alongside other European countries, they will, again, deservedly have Labours full backing</mark>"
6409,"<mark> Our permanent representative gave me the estimate that the amount we would have to pay is somewhere between 4 million a year and 9 million a year, depending on how this is calculated; it is a rounding error whichever way one calculates it</mark>"
6410,<mark>Of course I agree 100% with the tone of what my right hon</mark>
6411,"<mark> The Prime Minister said earlier that we had sanctioned hundreds of people in this country, but that simply is not true</mark>"
6412,<mark> Will she make that appeal on behalf of the House and urge people to support the Ukrainian refugees financially rather than by sending goods</mark>
6413,"<mark> We need a humanitarian exemption like that agreed through UN resolution 2615 2021 in December, which the US has also passed domestically, because currently humanitarian aid organisations are unable to negotiate with sanctioned entities</mark>"
6414,<mark> The principles of article 5 are sacrosanct</mark>
6415,"<mark> If Russia attacks or invades a NATO country, in line with our article 5 obligations, we must be ready for what comes next; we will be at war</mark>"
6416,<mark> I stand today to declare my support and that of the thousands of constituents who have contacted all hon</mark>
6417,"<mark> Moldova is a country of something short of 3 million people, yet it has already taken 90,000 refugees, which is proportionately the equivalent of the UK taking in 2 million people</mark>"
6418,"<mark> We will give our full support to the reform of Companies House, but that was first announced two and a half years ago and we still have only a White Paper, not legislation</mark>"
6419,"<mark>This excellent debate and, at the start of our proceedings, the outpouring of love and solidarity for the Ukrainian ambassador, who was present, with that long standing ovation that the Minister mentionedunprecedented in my 30 years as an MPclearly demonstrate in a graphic way the 100% support that this House of Commons has for the brave people of Ukraine</mark>"
6420,<mark> It is no wonder that so many thousands of Ukrainian men and women are rallying to the flag to ensure they do not lose it again</mark>
6421,<mark> We must work out how we can alleviate the humanitarian challenge and the sheer misery of the millions of people who find themselves living in cities that are under siege without risking escalation that could make this world war three</mark>
6422,"<mark> They say the war is actually being fought on behalf of the very wealthy, and they look for a different Russia, one of peace that is not at war with Ukraine</mark>"
6423,<mark>Putins inhumanity to man makes countless thousands mourn</mark>
6424,"<mark> I have said it once, I have said it twice and I will say it a third time Putins inhumanity to man makes countless thousands mourn</mark>"
6425,"<mark> That takes on a particular resonance in a country that in its past suffered, almost 100 years ago, a famine genocide organised by Stalin that killed many millions of Ukrainians and is still very much alive in the minds of Ukrainians to this day</mark>"
6426,<mark> It has displaced about 2 million Ukrainians in their own land</mark>
6427,"<mark> More than half a million residents have already left the country in a short time, and the UN estimates that the number could go up to 4 million, which would create the largest refugee crisis that Europe has witnessed in decades</mark>"
6428,"<mark>Amendments made 52, on page 32, line 36, leave out 2 and 3 and insert 2 to 3</mark>"
6429,<mark>1 The Sanctions and AntiMoney Laundering Act 2018 referred to in this Chapter as the 2018 Act is amended as follows</mark>
6430,<mark>I am pleased to see the amendments that would lower the threshold to 10%</mark>
6431,"<mark>Within 28 days of this Act being passed, the Secretary of State must publish and lay before Parliament a report on the funding of enforcement agencies in connection with the provisions of Part 2 of this Act</mark>"
6432,"<mark>Amendments made 60, on page 33, line 9, at beginning insert Chapter 1 of</mark>"
6433,"<mark>1 Any precommencement regulations which authorise an appropriate Minister to designate persons by name see section 11 of the 2018 Act have effect, and for the purposes of anything done on or after the day on which this Act is passed are deemed to have always had effect, as if the regulations contain the provision required to be included as a result of the amendments made by section Urgent designation of persons by name</mark>"
6434,"<mark> On this issue, we have supported Tell MAMA with just over £4 million between 2016 and 2022 to monitor and combat antiMuslim hatred</mark>"
6435,<mark> Over the past five years of the places of worship grant scheme we have awarded 241 grants worth approximately £5 million  to places of worship</mark>
6436,<mark> In November 2020 we awarded £1</mark>
6437,"<mark>8 million through the Ministry of Housing, Communities and Local Governments faith, race and hate crime grant scheme</mark>"
6438,<mark>On my own behalf and on behalf of my hon</mark>
6439,"<mark> Part 1, Registration of overseas entities, establishes a public register of beneficial owners of foreign entities that own or buy land in the UK</mark>"
6440,"<mark> From the start, the register needs a framework of rules that commands confidence and ensures the completeness and accuracy of information, so our amendments 5 and 6 to clause 7 would require that entries on the register be updated within 14 days of any trigger event, namely the change or removal of a beneficial owner</mark>"
6441,"<mark> The idea that such a fine would deter those who fail to comply is frankly ridiculous, so we support Government amendments 45 and 46, which directly replace ours and will raise the fine to at least £2,500 a day</mark>"
6442,"<mark> Labours amendments 15, 16 and 17 to schedules 3 and 4 would reduce the transitional period to 28 days, which in our view would provide enough time for overseas entities to get documents in order, while recognising the need to act urgently</mark>"
6443,"<mark> Under Labours amendments 9, 13 and 14, all foreignbought properties would fall within the Bills scope, regardless of when they were purchased</mark>"
6444,"<mark> We recognise that registering properties bought before 1999 in England and Wales or 2014 in Scotland may take more time, for reasons that the Minister has discussed, so our new clause 6 would allow an 18month transitional period for such properties, but it is important that we make sure that they are included in the scope of the Bill</mark>"
6445,"<mark> That is why Labour has tabled new clause 7, which would require that the Secretary of State lay draft legislation on Companies House reform within 28 days of this Act coming into force</mark>"
6446,<mark> Member for Glasgow Central Alison Thewliss in new clause 4 on some of the areas associated with Companies House reform and verification</mark>
6447,"<mark> The Government have accepted the principle of Labours new clause 8, which would require an annual update to be made to the  House on the use of UWOs, in their new clause 31</mark>"
6448,"<mark> However, money laundering prosecutions have dropped by 38% in the past five years and the NCAs budget has dropped by 4</mark>"
6449,<mark>2% in real terms since 2016</mark>
6450,"<mark> We support amendments 26, 27, 37 and 38, new clauses 2 and 9, and new clause 29, among others</mark>"
6451,"<mark> It might disclose individual named nominees, but it would not then disclose the people on whose behalf the nominees hold the property</mark>"
6452,"<mark> The logical way to do that is by introducing an amendment to introduce the same provisions we are introducing here into section 790C7 I am sorry, again, about the lengthof the Companies Act 2006</mark>"
6453,<mark>8 FTEThis information can be found in HM Treasurys Outcome Delivery Plan</mark>
6454,<mark> That is why new clause 2 is so very important</mark>
6455,<mark> Paragraph 3</mark>
6456,<mark>1</mark>
6457,"<mark>3 of the UK financial sanctions guidance in December 2020 says that the use of an asset, even when it is frozen, is not prohibited</mark>"
6458,"<mark> Clauses 1 to 6 provide an overview of the register, define an overseas entity and establish the register and registration process</mark>"
6459,<mark> Clauses 7 to 11 set out the duties for updating and removing entities from the register</mark>
6460,"<mark> Such powers underpinned the restraining, freezing or seizure of more than £979 millionworth of assets in 202021</mark>"
6461,"<mark> Amendment 3 would not have the effect that we believe is sought, but I can see the potential merit in such an amendment and assure the House that we will look further at the intent behind the proposal to see whether there is a workable alternative</mark>"
6462,"<mark> Member for Barking for tabling new clause 2, which seeks to place an obligation on the Secretary of State to provide additional reporting on the funding of enforcement agencies</mark>"
6463,<mark> The combination of this years spending review settlement and the private sector contributions through the levy will provide around £400 million of funding in respect of economic crime over the spending review period</mark>
6464,"<mark> Since 200607, just under £1</mark>"
6465,"<mark>2 billionworth of assets recovered under the Proceeds of Crime Act 2002 have been returned to law enforcement agencies, prosecutors and the courts to fund further assetrecovery capability or work that protects the public from harm</mark>"
6466,"<mark> I also support new clauses 7 and 2, which seek to beef up enforcement</mark>"
6467,<mark>8 fulltime equivalent staff</mark>
6468,"<mark> It is welcome that the Government have increased the penalties, but I still fear that we are talking about people for whom billions of pounds are the standard currency that they are dealing with</mark>"
6469,"<mark> For minor errors such as submitting a late return, there is usually a fixed penalty of a few hundred pounds, but if a tax return is intentionally wrong, or there has been a lack of reasonable care, HMRC levies penalties as a percentage of the tax dueup to 30% for carelessness and up to 70% for deliberate inaccuracy</mark>"
6470,"<mark> Two years ago, the anticorruption campaign group Global Witness looked at this and found that 4,000 of the people registered as a person of significant control were under the age of two, while one had not even been born yet</mark>"
6471,"<mark> At the opposite end of the spectrum, its researchers found that five individuals each controlled more than 6,000 companies</mark>"
6472,<mark> There are more than 4 million companies registered at Companies House</mark>
6473,"<mark> According to The New York Post, the former owner of Chelsea football club transferred £92 million of New York City property to his exwife, Dasha Zhukova, just before the 2018 round of sanctions was announced</mark>"
6474,"<mark> Maiyas real estate empire covers more than £50 millionworth of property in Moscow alone and includes at least three companies, including Katina, which owns prime oceanfront real estate in Croatia</mark>"
6475,"<mark>I rise to speak specifically to new clause 2, on the funding of enforcement agencies, but I wish to say a couple of things about the amendments in general</mark>"
6476,<mark> I am glad he is going to talk to us about amendment 3</mark>
6477,"<mark> Fraud is now the most common crime committed in the UK, with more than 5 million offences, but hardly any are prosecuted</mark>"
6478,"<mark>7% in 201617 to 67% in 202021, so we are pursuing fewer criminals and we are being less successful in getting convictions</mark>"
6479,"<mark> Just to be absolutely clear, that is equivalent to 0</mark>"
6480,"<mark>042% of GDP, and that is a generous estimate that I have put together</mark>"
6481,"<mark> Even though the most recent estimate that I have seen of the cost of economic crime is around £290 billion, which is well over 10% of GDP, the National Crime Agency has suffered a 4</mark>"
6482,<mark>2% cut in its core budget over the past five years</mark>
6483,"<mark> In contrast, I met a group of antifinancial crime executives working for the banks and they told me that the regulated financial services sector spendshold your breath£49</mark>"
6484,<mark>5 billion every year on financial crime compliance</mark>
6485,<mark> Our £852 million is just too small in comparison</mark>
6486,<mark>It always seems to me absurd that it costs £12 to establish a new company in Companies House</mark>
6487,"<mark> Obviously we want to make it easy for new businesses to enter the market, but £12 is absurd</mark>"
6488,"<mark> We know that that gets exploited in relation to shell companies, but does it also facilitate economic crime If we quadrupled that figure to £50, it would still not be a fortune, but we would then have a massive investment that we could put into our enforcement agencies without raising any further money through taxation</mark>"
6489,"<mark> The British bank was fined £842 million in America, but only £102 million here by the Financial Conduct Authority in the UK</mark>"
6490,"<mark> Between 2016 and 2021, the law enforcement bodies brought £3</mark>"
6491,<mark>9 billion back into the UK coffers</mark>
6492,"<mark> If that money had been reinvested, which is one of the ideas for funding the enforcement agencies, it could have brought an extra three quarters of a billion pounds to be spent on enforcement by all those agencies</mark>"
6493,<mark> Our amendments 18 to 23 would lower the threshold for beneficial ownership from 25% to 10%</mark>
6494,<mark> New clauses 2 and 9 deal with that</mark>
6495,"<mark> There are nowhere near enough resources applied to economic crime it represents 40% of all crime, but 1% of the resources</mark>"
6496,"<mark> For example, last year I think the Office of Financial Sanctions Implementation, one of the bodies charged with enforcement, sanctioned two individuals or companies with collective fines of £85,000</mark>"
6497,"<mark> In the US, a similar body levied 87 fines totalling £1</mark>"
6498,"<mark>5 billion, because it is properly resourced</mark>"
6499,"<mark> Some 43% of all financial crimes are identified through whistleblowers, yet it is something we do not talk about</mark>"
6500,"<mark> Airbus paid $3 billion in fines internationally and £900 million to the UK Treasury, and all that money came as a result of a disclosure from whistleblowers</mark>"
6501,"<mark> So if you are thinking of blowing the whistle, will you do it My constituent, Ian Foxley, who was involved in the GPT Special Projects case that resulted in £28 million of financial sanctions at Southwark court last year, has been 11 years without a single penny</mark>"
6502,"<mark> That man was earning £200,000 a year</mark>"
6503,"<mark> The ASA issues enforcement notices to online retailers where parcel surcharging practices are raised, and it has achieved a compliance rate of over 95%</mark>"
6504,"<mark> Friend the Member for Moray described one of the 5%, where, because of the way it was phrased, the ASA let them get away with it</mark>"
6505,<mark> May I ask him specifically for an update on the £900 million that I have requested for South Yorkshire to match the shared prosperity fund commitments that the Government have rightly made to Cornwall</mark>
6506,<mark>I am delighted that the UK Government have recently signed a memorandum of understanding with Wrexham and Denbighshire councils in order to allow the first phase of the £13</mark>
6507,<mark>3 million levellingup projects in Clwyd South to progress</mark>
6508,<mark>1 The Secretary of State may by notice publish the name of a person being considered as a subject for sanctions</mark>
6509,"<mark>Amendments made 50, page 16, line 11, leave out £500 and onetenth and insert £2,500 and one half</mark>"
6510,"<mark>I rise to speak in support of new clauses 7 and 8, but I want to start by expressing my solidarity with the people of Ukraine, who face unimaginable heartbreak and horror, and particularly to black residents who have been subject to unacceptable levels of racism and brutality</mark>"
6511,"<mark> Since as early as 2016, the Government have been making empty promises for tighter regulations to prevent these illicit activities, but since then, £1</mark>"
